LocationId;ProductId;ValidationDateTime;CalculatedProbability
63;292487;2023-07-22 14:57:43;0.05245252894741455
63;292489;2023-07-22 14:57:43;0.14081347045160336
63;425438;2023-07-22 14:57:43;0.2938399345843229
63;514225;2023-07-22 14:57:43;0.1126135609148889
63;425891;2023-07-22 14:57:43;0.028232565747219475
63;337612;2023-07-22 14:57:43;0.14007117581269452
63;487187;2023-07-22 14:57:43;0.08268183690232224
63;537438;2023-07-22 14:57:44;0.028236665536649243
63;507558;2023-07-22 14:57:44;0.14604930699150234
63;314756;2023-07-22 14:57:44;0.1092266164091695
63;485376;2023-07-22 14:57:44;0.40709883158239635
63;428399;2023-07-22 14:57:44;0.11631967513730077
63;411301;2023-07-22 14:57:44;0.12552926268296086
63;339486;2023-07-22 14:57:45;0.06416375441170738
63;424792;2023-07-22 14:57:45;0.07950386998873045
63;293910;2023-07-22 14:57:45;0.18977051970287048
63;356920;2023-07-22 14:57:45;0.09739021865276369
63;291824;2023-07-22 14:57:46;0.2637613323007194
84;304821;2023-07-22 14:57:46;0.0160099639227428
63;469000;2023-07-22 14:57:46;0.33859050918691724
63;501571;2023-07-22 14:57:46;0.22029447777884104
63;532253;2023-07-22 14:57:46;0.4467927630271025
84;426577;2023-07-22 14:57:46;0.4251750562593007
84;304072;2023-07-22 14:57:47;0.13866990893631156
84;314756;2023-07-22 14:57:47;0.17916774037900807
84;485161;2023-07-22 14:57:47;0.15342651166225685
84;485344;2023-07-22 14:57:47;0.29786168360626997
84;341568;2023-07-22 14:57:47;0.27943786123251924
84;444341;2023-07-22 14:57:47;0.07886798002846095
84;464958;2023-07-22 14:57:48;0.043604415377798134
84;428402;2023-07-22 14:57:48;0.4639601015163452
84;288783;2023-07-22 14:57:48;0.07847574703502432
84;292488;2023-07-22 14:57:48;0.08224593826774095
84;388714;2023-07-22 14:57:48;0.23419657229750776
84;375354;2023-07-22 14:57:48;0.2110377974020973
84;561670;2023-07-22 14:57:48;0.06536816167347545
84;507558;2023-07-22 14:57:49;0.10596480842309956
84;515842;2023-07-22 14:57:49;0.16103115978021557
84;378820;2023-07-22 14:57:49;0.5390640618894907
103;428397;2023-07-22 14:57:49;0.23150033865940922
84;355851;2023-07-22 14:57:49;0.44951609398224557
84;570502;2023-07-22 14:57:49;0.05875563740632343
84;341207;2023-07-22 14:57:49;0.11603932024548917
103;427533;2023-07-22 14:57:50;0.6908829642684482
103;498615;2023-07-22 14:57:50;0.03925839643154343
103;371227;2023-07-22 14:57:50;0.044507553182798136
103;359089;2023-07-22 14:57:50;0.2649714768843471
103;357767;2023-07-22 14:57:50;0.16386456730016458
103;428403;2023-07-22 14:57:50;0.3488410197738367
103;326354;2023-07-22 14:57:50;0.2771827952411553
103;330438;2023-07-22 14:57:51;0.5140378177996404
103;501179;2023-07-22 14:57:51;0.16865275415682912
103;413138;2023-07-22 14:57:51;0.09162884442682515
103;517566;2023-07-22 14:57:51;0.06828089270274369
103;411301;2023-07-22 14:57:51;0.03895479541919386
103;405255;2023-07-22 14:57:51;0.48270179070460056
103;460702;2023-07-22 14:57:52;0.06215336680527521
103;325347;2023-07-22 14:57:52;0.018564644973866156
103;356589;2023-07-22 14:57:52;0.32121765362355476
103;425896;2023-07-22 14:57:52;0.06711510043614886
103;485064;2023-07-22 14:57:52;0.6150912934683707
103;513168;2023-07-22 14:57:52;0.7192351638653518
111;428405;2023-07-22 14:57:53;0.3955497199362336
111;420635;2023-07-22 14:57:53;0.19313258744352066
111;485473;2023-07-22 14:57:53;0.24324189637680052
111;425652;2023-07-22 14:57:53;0.27620681150333526
111;425778;2023-07-22 14:57:53;0.1323361564063011
111;428415;2023-07-22 14:57:53;0.1482183803477468
